Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	Loss
5.864081144332886	0	3.14420062696	1.63174500432	13.0	1.0	3.14420062696	1.63174500432	1003	1003	-0.126429
6.595485210418701	1	3.08615384615	1.55473242052	11.0	1.0	3.08615384615	1.55473242052	1003	2006	-0.157482
7.255308151245117	2	3.27450980392	1.65776167748	11.0	1.0	3.27450980392	1.65776167748	1002	3008	-0.129746
8.068236112594604	3	3.32890365449	1.88051606175	14.0	1.0	3.32890365449	1.88051606175	1002	4010	-0.163098
8.718406200408936	4	3.26129032258	2.00791617537	17.0	1.0	3.26129032258	2.00791617537	1011	5021	-0.119015
9.360517263412476	5	3.27272727273	1.71612946895	11.0	1.0	3.27272727273	1.71612946895	1008	6029	-0.143502
10.023092985153198	6	3.38175675676	1.90648031306	13.0	1.0	3.38175675676	1.90648031306	1001	7030	-0.161088
10.684210300445557	7	3.5034965035	2.03766672362	13.0	1.0	3.5034965035	2.03766672362	1002	8032	-0.129814
11.51071810722351	8	3.34	1.84871126284	13.0	1.0	3.34	1.84871126284	1002	9034	-0.15825
12.157081127166748	9	3.65090909091	1.99862432026	11.0	1.0	3.65090909091	1.99862432026	1004	10038	-0.131349
12.804740190505981	10	3.45862068966	2.01887938213	15.0	1.0	3.45862068966	2.01887938213	1003	11041	-0.156595
13.458436250686646	11	3.64130434783	2.11917499195	15.0	1.0	3.64130434783	2.11917499195	1005	12046	-0.142392
14.09084701538086	12	3.92941176471	2.75590589481	24.0	1.0	3.92941176471	2.75590589481	1002	13048	-0.0817422
14.710800170898438	13	3.6875	2.25932503911	21.0	1.0	3.6875	2.25932503911	1003	14051	-0.162394
15.34484601020813	14	3.79166666667	2.36574485889	16.0	1.0	3.79166666667	2.36574485889	1001	15052	-0.185401
15.97394609451294	15	4.09756097561	2.5643415743	15.0	1.0	4.09756097561	2.5643415743	1008	16060	-0.157878
16.586649179458618	16	3.87258687259	2.41519911071	15.0	1.0	3.87258687259	2.41519911071	1003	17063	-0.14305
17.191641092300415	17	4.11885245902	2.80628194508	18.0	1.0	4.11885245902	2.80628194508	1005	18068	-0.161897
17.803630113601685	18	4.25423728814	2.90874322176	23.0	1.0	4.25423728814	2.90874322176	1004	19072	-0.149553
18.404872179031372	19	4.74056603774	2.74440350951	16.0	1.0	4.74056603774	2.74440350951	1005	20077	-0.167689
19.01290798187256	20	4.35064935065	2.36551469061	12.0	2.0	4.35064935065	2.36551469061	1005	21082	-0.140891
19.719743967056274	21	4.57077625571	2.90461211585	18.0	1.0	4.57077625571	2.90461211585	1001	22083	-0.200936
20.389878034591675	22	4.33620689655	2.55776021873	15.0	1.0	4.33620689655	2.55776021873	1006	23089	-0.181371
21.016253232955933	23	4.69953051643	3.11950546298	16.0	1.0	4.69953051643	3.11950546298	1001	24090	-0.212555
21.61564588546753	24	4.70422535211	3.45892476792	24.0	1.0	4.70422535211	3.45892476792	1002	25092	-0.178722
22.225933074951172	25	4.75355450237	3.3579394735	20.0	1.0	4.75355450237	3.3579394735	1003	26095	-0.164661
22.969823122024536	26	4.8640776699	3.10511180071	18.0	1.0	4.8640776699	3.10511180071	1002	27097	-0.171145
23.59441113471985	27	5.45405405405	4.2233965193	29.0	1.0	5.45405405405	4.2233965193	1009	28106	-0.142153
24.403632164001465	28	5.19170984456	3.80612183169	25.0	1.0	5.19170984456	3.80612183169	1002	29108	-0.191644
25.06461811065674	29	5.47540983607	3.85363311954	22.0	2.0	5.47540983607	3.85363311954	1002	30110	-0.150434
25.751326084136963	30	5.32978723404	3.60817127569	24.0	1.0	5.32978723404	3.60817127569	1002	31112	-0.167071
26.33268404006958	31	5.4402173913	4.040112993	27.0	1.0	5.4402173913	4.040112993	1001	32113	-0.179806
26.917930126190186	32	5.65536723164	3.42141593672	16.0	1.0	5.65536723164	3.42141593672	1001	33114	-0.134555
27.674439191818237	33	5.95833333333	4.66541756242	33.0	1.0	5.95833333333	4.66541756242	1001	34115	-0.130971
28.252323150634766	34	6.2625	4.63881383006	25.0	1.0	6.2625	4.63881383006	1002	35117	-0.15263
28.841692209243774	35	6.41666666667	4.95098841897	33.0	2.0	6.41666666667	4.95098841897	1001	36118	-0.119798
29.568453073501587	36	6.36075949367	4.3708156908	24.0	1.0	6.36075949367	4.3708156908	1005	37123	-0.144939
30.19971513748169	37	6.86301369863	4.79101633194	26.0	1.0	6.86301369863	4.79101633194	1002	38125	-0.162082
30.92014789581299	38	6.83673469388	4.6350348997	30.0	2.0	6.83673469388	4.6350348997	1005	39130	-0.140647
31.544300079345703	39	5.56111111111	3.94991404814	20.0	1.0	5.56111111111	3.94991404814	1001	40131	-0.170898
32.257938861846924	40	6.76510067114	4.84579560619	25.0	2.0	6.76510067114	4.84579560619	1008	41139	-0.141419
32.947779178619385	41	6.88356164384	4.61164439512	29.0	1.0	6.88356164384	4.61164439512	1005	42144	-0.137167
33.52888298034668	42	6.58169934641	5.09082781394	26.0	2.0	6.58169934641	5.09082781394	1007	43151	-0.170885
34.109129905700684	43	6.46451612903	5.01645989989	38.0	1.0	6.46451612903	5.01645989989	1002	44153	-0.114527
34.687053203582764	44	7.0	4.51725518491	26.0	1.0	7.0	4.51725518491	1001	45154	-0.114482
35.30098605155945	45	6.46451612903	4.41884150539	22.0	1.0	6.46451612903	4.41884150539	1002	46156	-0.153871
35.91008520126343	46	7.07042253521	4.18523206371	21.0	2.0	7.07042253521	4.18523206371	1004	47160	-0.182966
