Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	Loss
1.6062440872192383	0	25.297979798	13.5377174553	86.0	9.0	25.297979798	13.5377174553	5009	5009	-0.00856917
2.993407964706421	1	29.6705882353	17.3377440932	101.0	9.0	29.6705882353	17.3377440932	5044	10053	-0.0093549
4.284707069396973	2	36.2391304348	20.8290329525	110.0	9.0	36.2391304348	20.8290329525	5001	15054	-0.0100252
5.660382986068726	3	35.4366197183	20.3526877447	136.0	10.0	35.4366197183	20.3526877447	5032	20086	-0.00963725
6.969704866409302	4	36.3550724638	19.2243809288	109.0	11.0	36.3550724638	19.2243809288	5017	25103	-0.0144203
8.246471881866455	5	46.5740740741	24.3223733703	165.0	13.0	46.5740740741	24.3223733703	5030	30133	-0.00714759
9.586463928222656	6	49.6633663366	28.0223663242	171.0	13.0	49.6633663366	28.0223663242	5016	35149	-0.00884587
10.86281704902649	7	52.3229166667	23.6231237313	129.0	15.0	52.3229166667	23.6231237313	5023	40172	-0.00591074
12.124122142791748	8	49.5098039216	23.2913116419	108.0	12.0	49.5098039216	23.2913116419	5050	45222	-0.00622605
13.405153036117554	9	53.9574468085	29.7031106952	154.0	18.0	53.9574468085	29.7031106952	5072	50294	-0.0037379
14.801225900650024	10	57.0	33.194331389	191.0	19.0	57.0	33.194331389	5016	55310	-0.00792311
16.09813404083252	11	60.3493975904	27.7260408824	145.0	14.0	60.3493975904	27.7260408824	5009	60319	-0.00711651
17.386564016342163	12	59.8452380952	27.7623820714	146.0	17.0	59.8452380952	27.7623820714	5027	65346	-0.00163157
18.858301877975464	13	65.1818181818	29.3561769304	200.0	20.0	65.1818181818	29.3561769304	5019	70365	-0.00340939
20.21915888786316	14	70.0277777778	30.5222925008	160.0	24.0	70.0277777778	30.5222925008	5042	75407	-0.00409855
21.890334844589233	15	78.484375	37.2122258923	196.0	19.0	78.484375	37.2122258923	5023	80430	-0.00650367
23.494883060455322	16	69.75	27.8267207714	160.0	21.0	69.75	27.8267207714	5022	85452	-0.00237977
25.286880016326904	17	77.0151515152	32.2332843334	200.0	19.0	77.0151515152	32.2332843334	5083	90535	-0.00287053
26.770716905593872	18	69.0136986301	25.0700351348	134.0	23.0	69.0136986301	25.0700351348	5038	95573	-0.0107901
28.398988962173462	19	85.8813559322	38.3043497755	200.0	22.0	85.8813559322	38.3043497755	5067	100640	-0.00332524
29.836938858032227	20	94.9056603774	38.6563300735	200.0	31.0	94.9056603774	38.6563300735	5030	105670	-0.00379909
31.20289897918701	21	99.1764705882	48.5522584367	200.0	25.0	99.1764705882	48.5522584367	5058	110728	-0.00533591
32.68036198616028	22	112.434782609	45.45549767	200.0	32.0	112.434782609	45.45549767	5172	115900	-0.00811849
34.08954095840454	23	131.128205128	47.8443949439	200.0	39.0	131.128205128	47.8443949439	5114	121014	-0.00158043
35.43043494224548	24	122.756097561	47.8069188215	200.0	32.0	122.756097561	47.8069188215	5033	126047	-0.0101862
36.883445024490356	25	150.088235294	46.5139875528	200.0	39.0	150.088235294	46.5139875528	5103	131150	-0.00709777
38.26916694641113	26	178.678571429	31.8164979345	200.0	112.0	178.678571429	31.8164979345	5003	136153	-0.00264766
39.72431778907776	27	173.413793103	33.8103404315	200.0	73.0	173.413793103	33.8103404315	5029	141182	-0.00346532
41.19747304916382	28	180.964285714	33.546856509	200.0	80.0	180.964285714	33.546856509	5067	146249	-0.000730355
42.51219296455383	29	163.483870968	44.642574044	200.0	28.0	163.483870968	44.642574044	5068	151317	-0.00546317
44.210099935531616	30	179.172413793	35.0113961403	200.0	88.0	179.172413793	35.0113961403	5196	156513	-0.000597799
45.5925829410553	31	168.866666667	43.8594218941	200.0	42.0	168.866666667	43.8594218941	5066	161579	-0.00741916
47.20464086532593	32	178.862068966	35.2935709081	200.0	82.0	178.862068966	35.2935709081	5187	166766	-0.00380669
48.968541860580444	33	191.407407407	19.9782460567	200.0	123.0	191.407407407	19.9782460567	5168	171934	0.00222275
50.67253589630127	34	179.857142857	35.02520958	200.0	77.0	179.857142857	35.02520958	5036	176970	-0.00251684
52.598007917404175	35	180.571428571	44.4557794503	200.0	18.0	180.571428571	44.4557794503	5056	182026	-0.00525264
54.16753101348877	36	191.074074074	20.5226630391	200.0	107.0	191.074074074	20.5226630391	5159	187185	-0.00319299
