Timestep	mean reward (100 episodes)	best mean reward	episodes	exploration	learning_rate
1040000	-18.88	-18.24	909	0.09910000000000001	9.95e-05
1050000	-18.7	-18.24	915	0.098875	9.9375e-05
1060000	-18.59	-18.24	921	0.09865	9.925e-05
1070000	-18.36	-18.24	928	0.098425	9.912500000000001e-05
1080000	-18.21	-18.2	934	0.09820000000000001	9.900000000000001e-05
1090000	-18.18	-18.14	941	0.097975	9.8875e-05
1100000	-18.29	-18.14	949	0.09775	9.875e-05
1110000	-18.3	-18.14	957	0.097525	9.8625e-05
1120000	-18.17	-18.14	966	0.09730000000000001	9.850000000000001e-05
1130000	-18.13	-18.13	973	0.09707500000000001	9.8375e-05
1140000	-18.18	-18.09	982	0.09685	9.825e-05
1150000	-18.43	-18.09	992	0.096625	9.8125e-05
1160000	-18.37	-18.09	1001	0.0964	9.800000000000001e-05
1170000	-18.53	-18.09	1009	0.09617500000000001	9.787500000000001e-05
1180000	-18.57	-18.09	1016	0.09595000000000001	9.775e-05
1190000	-18.62	-18.09	1024	0.095725	9.7625e-05
1200000	-18.68	-18.09	1031	0.0955	9.75e-05
1210000	-18.86	-18.09	1041	0.095275	9.737500000000001e-05
1220000	-19.04	-18.09	1051	0.09505000000000001	9.725e-05
1230000	-18.82	-18.09	1058	0.094825	9.7125e-05
1240000	-18.88	-18.09	1066	0.0946	9.7e-05
1250000	-18.66	-18.09	1073	0.094375	9.687500000000001e-05
1260000	-18.66	-18.09	1082	0.09415000000000001	9.675000000000001e-05
1270000	-18.61	-18.09	1090	0.09392500000000001	9.6625e-05
1280000	-18.54	-18.09	1098	0.0937	9.65e-05
1290000	-18.37	-18.09	1106	0.093475	9.6375e-05
1300000	-18.53	-18.09	1115	0.09325	9.625000000000001e-05
1310000	-18.72	-18.09	1125	0.09302500000000001	9.6125e-05
1320000	-18.89	-18.09	1134	0.09280000000000001	9.6e-05
1330000	-18.85	-18.09	1144	0.092575	9.5875e-05
1340000	-18.92	-18.09	1153	0.09235	9.575000000000001e-05
1350000	-18.92	-18.09	1162	0.09212500000000001	9.562500000000001e-05
1360000	-19.18	-18.09	1172	0.09190000000000001	9.55e-05
1370000	-19.28	-18.09	1183	0.091675	9.5375e-05
1380000	-19.44	-18.09	1194	0.09145	9.525000000000001e-05
1390000	-19.68	-18.09	1204	0.091225	9.512500000000001e-05
1400000	-19.79	-18.09	1216	0.091	9.5e-05
1410000	-19.83	-18.09	1227	0.09077500000000001	9.4875e-05
1420000	-19.88	-18.09	1238	0.09055	9.475e-05
1430000	-19.92	-18.09	1249	0.090325	9.462500000000001e-05
1440000	-20.2	-18.09	1260	0.0901	9.45e-05
1450000	-20.19	-18.09	1270	0.08987500000000001	9.4375e-05
1460000	-20.12	-18.09	1280	0.08965000000000001	9.425e-05
1470000	-19.98	-18.09	1288	0.089425	9.412500000000001e-05
1480000	-19.99	-18.09	1299	0.0892	9.400000000000001e-05
1490000	-20.01	-18.09	1310	0.088975	9.3875e-05
1500000	-19.84	-18.09	1318	0.08875000000000001	9.375e-05
1510000	-19.58	-18.09	1326	0.088525	9.3625e-05
1520000	-19.41	-18.09	1335	0.0883	9.350000000000001e-05
1530000	-19.11	-18.09	1342	0.088075	9.3375e-05
1540000	-19.06	-18.09	1351	0.08785	9.325e-05
1550000	-18.92	-18.09	1361	0.08762500000000001	9.3125e-05
1560000	-18.8	-18.09	1370	0.0874	9.300000000000001e-05
1570000	-18.84	-18.09	1380	0.087175	9.287500000000001e-05
1580000	-19.07	-18.09	1392	0.08695	9.275e-05
1590000	-18.93	-18.09	1402	0.08672500000000001	9.2625e-05
1600000	-18.85	-18.09	1411	0.08650000000000001	9.25e-05
1610000	-18.94	-18.09	1420	0.086275	9.237500000000001e-05
1620000	-19.22	-18.09	1431	0.08605	9.225e-05
1630000	-19.38	-18.09	1440	0.085825	9.2125e-05
1640000	-19.49	-18.09	1449	0.08560000000000001	9.2e-05
1650000	-19.32	-18.09	1457	0.085375	9.1875e-05
1660000	-19.59	-18.09	1468	0.08515	9.175000000000001e-05
1670000	-19.67	-18.09	1478	0.084925	9.1625e-05
1680000	-19.57	-18.09	1488	0.0847	9.15e-05
1690000	-19.49	-18.09	1499	0.08447500000000001	9.137500000000001e-05
1700000	-19.63	-18.09	1509	0.08425	9.125000000000001e-05
1710000	-19.5	-18.09	1517	0.084025	9.1125e-05
